Country,Date,Covid Deaths,Surplus Deaths,Max Deaths,Overall Deaths
Luxembourg,2022W11,1.1553468929045946e-05,0.0,0.0,0.0
Norway,2022W11,3.530334008548355e-05,0.0,0.0,0.0
Belgium,2022W11,1.1770033960875196e-05,0.0,0.0,0.0
Portugal,2022W11,1.3173756737227508e-05,0.0,0.0,0.0
Europe**,2022W11,1.9309548184122716e-05,0.0,0.0,0.0
Serbia,2022W11,2.5273299690254123e-05,0.0,0.0,0.0
Romania,2022W11,2.3869461577509973e-05,0.0,0.0,0.0
North Macedonia,2022W11,2.867996127882981e-05,0.0,0.0,0.0
Montenegro,2022W11,1.1813875611703685e-05,0.0,0.0,0.0
Switzerland,2022W11,9.572909818576058e-06,0.0,0.0,0.0
Estonia,2022W11,4.310556552998293e-05,0.0,0.0,0.0
Ireland,2022W11,1.0852939868321215e-05,0.0,0.0,0.0
Cyprus,2022W11,2.380933779907225e-05,0.0,0.0,0.0
Bulgaria,2022W12,2.9783643516968292e-05,0.0,0.0,0.0
Sweden,2022W12,2.1742003350580812e-05,0.0,0.0,0.0
Netherlands,2022W12,5.398059693193743e-06,0.0,0.0,0.0
Italy,2022W12,1.6420135883208242e-05,0.0,0.0,0.0
Poland,2022W12,2.0137420186643228e-05,0.0,0.0,0.0
Malta,2022W12,1.4209132597041917e-05,0.0,0.0,0.0
Denmark,2022W12,4.2979120880061714e-05,0.0,0.0,0.0
Austria,2022W12,2.5561616706206943e-05,0.0,0.0,0.0
France,2022W12,1.1454892215967671e-05,0.0,0.0,0.0
Hungary,2022W12,3.329643321208225e-05,0.0,0.0,0.0
Finland,2022W12,3.6021104029972455e-05,0.0,0.0,0.0
Greece,2022W12,3.349367846618056e-05,0.0,0.0,0.0
Lithuania,2022W12,3.6484862359068274e-05,0.0,0.0,0.0
Slovenia,2022W12,1.8966541598130277e-05,0.0,0.0,0.0
Czechia,2022W12,1.9778646730039943e-05,0.0,0.0,0.0
Albania,2022W12,1.5313533405825243e-06,0.0,0.0,0.0
Germany,2022W12,1.7293000588262663e-05,0.0,0.0,0.0
Spain,2022W12,1.3917401453070947e-05,0.0,0.0,0.0
Iceland,2022W12,2.6211703796900872e-05,0.0,0.0,0.0
Slovakia,2022W12,3.58988757973992e-05,0.0,0.0,0.0
United Kingdom,2022W12,1.4794339475654999e-05,0.0,0.0,0.0
Croatia,2022W12,2.6013569173177285e-05,0.0,0.0,0.0
Liechtenstein,2022W12,4.2674860239832714e-05,0.0,0.0,0.0
Latvia,2022W12,3.94389180073698e-05,0.0,0.0,0.0
Luxembourg,2022W12,1.5229572679196929e-05,0.0,0.0,0.0
Norway,2022W12,4.1733370503855327e-05,0.0,0.0,0.0
Belgium,2022W12,1.2318148287484581e-05,0.0,0.0,0.0
Portugal,2022W12,1.17495668196894e-05,0.0,0.0,0.0
Europe**,2022W12,1.7518940020258513e-05,0.0,0.0,0.0
Serbia,2022W12,1.6541641447939842e-05,0.0,0.0,0.0
Romania,2022W12,1.6734662516886993e-05,0.0,0.0,0.0
North Macedonia,2022W12,2.0623792380282108e-05,0.0,0.0,0.0
Montenegro,2022W12,6.980926497824904e-06,0.0,0.0,0.0
Switzerland,2022W12,1.2840770600017684e-05,0.0,0.0,0.0
Estonia,2022W12,3.658960794986923e-05,0.0,0.0,0.0
Ireland,2022W12,1.1918259119199369e-05,0.0,0.0,0.0
Cyprus,2022W12,2.1205191477298726e-05,0.0,0.0,0.0
Bulgaria,2022W13,2.3181120601394414e-05,0.0,0.0,0.0
Sweden,2022W13,1.8209329246350545e-05,0.0,0.0,0.0
Netherlands,2022W13,5.874920090118985e-06,0.0,0.0,0.0
Italy,2022W13,1.6228811476070107e-05,0.0,0.0,0.0
Poland,2022W13,1.6816419569685882e-05,0.0,0.0,0.0
Malta,2022W13,1.6146741587547634e-05,0.0,0.0,0.0
Denmark,2022W13,3.5216623616199305e-05,0.0,0.0,0.0
Austria,2022W13,2.8882761066575435e-05,0.0,0.0,0.0
France,2022W13,1.1543575252478388e-05,0.0,0.0,0.0
Hungary,2022W13,2.9357040393780338e-05,0.0,0.0,0.0
Finland,2022W13,3.1623878956079495e-05,0.0,0.0,0.0
Greece,2022W13,3.464863289604886e-05,0.0,0.0,0.0
Lithuania,2022W13,3.302714664530037e-05,0.0,0.0,0.0
Slovenia,2022W13,1.4857124251868717e-05,0.0,0.0,0.0
Czechia,2022W13,1.8345862872430752e-05,0.0,0.0,0.0
Albania,2022W13,8.245748756982825e-07,0.0,0.0,0.0
Germany,2022W13,1.772993546636202e-05,0.0,0.0,0.0
Spain,2022W13,1.1111417026706466e-05,0.0,0.0,0.0
Iceland,2022W13,1.988474081144204e-05,0.0,0.0,0.0
Slovakia,2022W13,3.119783253821597e-05,0.0,0.0,0.0
United Kingdom,2022W13,1.7275067122688426e-05,0.0,0.0,0.0
Croatia,2022W13,2.2379927764860458e-05,0.0,0.0,0.0
Liechtenstein,2022W13,4.2674860239832714e-05,0.0,0.0,0.0
Latvia,2022W13,3.609365264067325e-05,0.0,0.0,0.0
Luxembourg,2022W13,1.733020339356892e-05,0.0,0.0,0.0
Norway,2022W13,4.729781990436937e-05,0.0,0.0,0.0
Belgium,2022W13,1.2058515185406451e-05,0.0,0.0,0.0
Portugal,2022W13,1.3950587601339204e-05,0.0,0.0,0.0
Europe**,2022W13,1.6839096822871023e-05,0.0,0.0,0.0
Serbia,2022W13,1.2030284689410794e-05,0.0,0.0,0.0
Romania,2022W13,1.2915548664485397e-05,0.0,0.0,0.0
North Macedonia,2022W13,1.4339980639414904e-05,0.0,0.0,0.0
Montenegro,2022W13,6.980926497824904e-06,0.0,0.0,0.0
Switzerland,2022W13,1.1764298813189856e-05,0.0,0.0,0.0
Estonia,2022W13,3.0073650369755533e-05,0.0,0.0,0.0
Ireland,2022W13,1.1651929306479831e-05,0.0,0.0,0.0
Cyprus,2022W13,1.7112961543083184e-05,0.0,0.0,0.0
Bulgaria,2022W14,2.0241311128036703e-05,0.0,0.0,0.0
Sweden,2022W14,1.4548194265602818e-05,0.0,0.0,0.0
Netherlands,2022W14,5.932143337750015e-06,0.0,0.0,0.0
Italy,2022W14,1.669024092857973e-05,0.0,0.0,0.0
Poland,2022W14,1.258808987170305e-05,0.0,0.0,0.0
Malta,2022W14,2.4543047213072402e-05,0.0,0.0,0.0
Denmark,2022W14,2.9109364739484026e-05,0.0,0.0,0.0
Austria,2022W14,3.026346153099829e-05,0.0,0.0,0.0
France,2022W14,1.1257818801499409e-05,0.0,0.0,0.0
Hungary,2022W14,2.6034248190516985e-05,0.0,0.0,0.0
Finland,2022W14,3.319001391390438e-05,0.0,0.0,0.0
Greece,2022W14,3.6927326771194414e-05,0.0,0.0,0.0
Lithuania,2022W14,2.8973273049848338e-05,0.0,0.0,0.0
Slovenia,2022W14,1.5173233278504222e-05,0.0,0.0,0.0
Czechia,2022W14,1.64458668873403e-05,0.0,0.0,0.0
Albania,2022W14,5.889820540702018e-07,0.0,0.0,0.0
Germany,2022W14,1.8936517102214377e-05,0.0,0.0,0.0
Spain,2022W14,1.1076254314596636e-05,0.0,0.0,0.0
Iceland,2022W14,1.2653925970917663e-05,0.0,0.0,0.0
Slovakia,2022W14,2.7839944495942237e-05,0.0,0.0,0.0
United Kingdom,2022W14,1.9320667138084943e-05,0.0,0.0,0.0
Croatia,2022W14,2.0645689819981972e-05,0.0,0.0,0.0
Liechtenstein,2022W14,2.560491614389963e-05,0.0,0.0,0.0
Latvia,2022W14,3.0107388300268907e-05,0.0,0.0,0.0
