Country,Date,Deaths
Croatia,2020W07,0.0
Cuba,2020W07,0.0
Cyprus,2020W07,0.0
Czechia,2020W07,0.0
Denmark,2020W07,0.0
Diamond Princess,2020W07,2.0
Djibouti,2020W07,0.0
Dominica,2020W07,0.0
Dominican Republic,2020W07,0.0
Ecuador,2020W07,0.0
Egypt,2020W07,0.0
El Salvador,2020W07,0.0
Equatorial Guinea,2020W07,0.0
Eritrea,2020W07,0.0
Estonia,2020W07,0.0
Eswatini,2020W07,0.0
Ethiopia,2020W07,0.0
Fiji,2020W07,0.0
Finland,2020W07,0.0
France,2020W07,0.0
Gabon,2020W07,0.0
Gambia,2020W07,0.0
Georgia,2020W07,0.0
Germany,2020W07,0.0
Ghana,2020W07,0.0
Greece,2020W07,0.0
Grenada,2020W07,0.0
Guatemala,2020W07,0.0
Guinea,2020W07,0.0
Guinea-Bissau,2020W07,0.0
Guyana,2020W07,0.0
Haiti,2020W07,0.0
Holy See,2020W07,0.0
Honduras,2020W07,0.0
Hungary,2020W07,0.0
Iceland,2020W07,0.0
India,2020W07,0.0
Indonesia,2020W07,0.0
Iran,2020W07,5.0
Iraq,2020W07,0.0
Ireland,2020W07,0.0
Israel,2020W07,0.0
Italy,2020W07,2.0
Jamaica,2020W07,0.0
Japan,2020W07,1.0
Jordan,2020W07,0.0
Kazakhstan,2020W07,0.0
Kenya,2020W07,0.0
Kiribati,2020W07,0.0
"Korea, North",2020W07,0.0
"Korea, South",2020W07,2.0
Kosovo,2020W07,0.0
Kuwait,2020W07,0.0
Kyrgyzstan,2020W07,0.0
Laos,2020W07,0.0
Latvia,2020W07,0.0
Lebanon,2020W07,0.0
Lesotho,2020W07,0.0
Liberia,2020W07,0.0
Libya,2020W07,0.0
Liechtenstein,2020W07,0.0
Lithuania,2020W07,0.0
Luxembourg,2020W07,0.0
MS Zaandam,2020W07,0.0
Madagascar,2020W07,0.0
Malawi,2020W07,0.0
Malaysia,2020W07,0.0
Maldives,2020W07,0.0
Mali,2020W07,0.0
Malta,2020W07,0.0
Marshall Islands,2020W07,0.0
Mauritania,2020W07,0.0
Mauritius,2020W07,0.0
Mexico,2020W07,0.0
Micronesia,2020W07,0.0
Moldova,2020W07,0.0
Monaco,2020W07,0.0
Mongolia,2020W07,0.0
Montenegro,2020W07,0.0
Morocco,2020W07,0.0
Mozambique,2020W07,0.0
Namibia,2020W07,0.0
Nauru,2020W07,0.0
Nepal,2020W07,0.0
Netherlands,2020W07,0.0
New Zealand,2020W07,0.0
Nicaragua,2020W07,0.0
Niger,2020W07,0.0
Nigeria,2020W07,0.0
North Macedonia,2020W07,0.0
Norway,2020W07,0.0
Oman,2020W07,0.0
Pakistan,2020W07,0.0
Palau,2020W07,0.0
Panama,2020W07,0.0
Papua New Guinea,2020W07,0.0
Paraguay,2020W07,0.0
Peru,2020W07,0.0
Philippines,2020W07,0.0
Poland,2020W07,0.0
