DATAFLOW,LAST UPDATE,freq,n_person,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,BG,2020,17.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BG,2011,19.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BG,2012,18.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BG,2013,17.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BG,2014,16.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BG,2015,15.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BG,2016,15.1,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BG,2017,15.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BG,2018,14.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BG,2019,14.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,BG,2020,13.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BG,2011,7.7,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BG,2012,6.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BG,2013,5.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BG,2014,5.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BG,2015,4.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BG,2016,3.9,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BG,2017,3.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BG,2018,4.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BG,2019,4.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,5,BG,2020,4.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BG,2011,6.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BG,2012,5.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BG,2013,4.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BG,2014,3.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BG,2015,2.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BG,2016,3.2,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BG,2017,3.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BG,2018,3.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BG,2019,3.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,GE6,BG,2020,3.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,CH,2011,31.6,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,CH,2012,31.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,CH,2013,31.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,CH,2014,35.6,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,CH,2015,36.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,CH,2016,37.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,CH,2017,37.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,CH,2018,36.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,1,CH,2019,36.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,CH,2011,35.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,CH,2012,35.7,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,CH,2013,36.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,CH,2014,33.6,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,CH,2015,33.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,CH,2016,33.3,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,CH,2017,33.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,CH,2018,32.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,2,CH,2019,33.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,CH,2011,13.7,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,CH,2012,13.6,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,CH,2013,13.1,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,CH,2014,12.8,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,CH,2015,12.5,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,CH,2016,12.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,CH,2017,12.4,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,CH,2018,12.6,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,3,CH,2019,12.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,CH,2011,14.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,CH,2012,13.8,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,CH,2013,13.9,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,CH,2014,12.5,b
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,CH,2015,12.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,CH,2016,12.0,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,CH,2017,12.2,
ESTAT:ILC_LVPH03(1.0),15/11/21 23:00:00,A,4,CH,2018,12.5,
